game_id,winner,victory_status,number_of_turns,white_player_id,black_player_id,opening_eco,moveset
HgKLWPsz,white,mate,39,daniel_likes_chess,anaissac,A00,"['e3', 'e6', 'd4', 'd6', 'Bd3', 'c6', 'Nf3', 'Be7', 'Nc3', 'Nf6', 'Bd2', 'Bd7', 'Qe2', 'c5', 'dxc5', 'dxc5', 'O-O', 'b6', 'Rfe1', 'Bc6', 'e4', 'O-O', 'e5', 'Nd5', 'Nxd5', 'Qxd5', 'Bc4', 'Qd7', 'Rad1', 'Qb7', 'Bg5', 'Re8', 'Bxe7', 'Rxe7', 'Rd8+', 'Re8', 'Red1', 'Bd5', 'Rxe8#']"
Vf5fKWzI,black,resign,38,daniel_likes_chess,subham777,C02,"['e4', 'e6', 'd4', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'Nf3', 'Qb6', 'Be3', 'Qxb2', 'Nbd2', 'cxd4', 'cxd4', 'Nb4', 'Rb1', 'Qxa2', 'Qb3', 'Qxb3', 'Nxb3', 'Nc2+', 'Kd1', 'Nxe3+', 'fxe3', 'Ne7', 'Nc5', 'Nf5', 'e4', 'dxe4', 'Nxe4', 'Ne3+', 'Ke2', 'Nxf1', 'Rhxf1', 'b6', 'Ned2', 'Ba6+']"
HRti5mKv,black,resign,60,daniel_likes_chess,roman12342005,C00,"['e4', 'e6', 'Nf3', 'd5', 'exd5', 'exd5', 'Qe2+', 'Be7', 'Nc3', 'Nf6', 'd4', 'O-O', 'g4', 'Bxg4', 'Bg2', 'Nbd7', 'O-O', 'c6', 'h3', 'Bh5', 'Bf4', 'Re8', 'Rfe1', 'Bd6', 'Be3', 'Nb6', 'Ng5', 'h6', 'Nf3', 'Nc4', 'b3', 'Nxe3', 'fxe3', 'Bf4', 'Nd1', 'Nd7', 'Qd2', 'Bd6', 'c4', 'dxc4', 'bxc4', 'a5', 'a4', 'Bb4', 'Nc3', 'Qc7', 'Rad1', 'Bxc3', 'Qxc3', 'Qg3', 'e4', 'Re6', 'd5', 'Rf6', 'Re3', 'Nc5', 'Ra1', 'Rg6', 'Ra2', 'Nxe4']"
2fEjSei6,black,resign,31,daniel_likes_chess,alkhan,C00,"['e4', 'e6', 'Qh5', 'g6', 'Qe5', 'Nf6', 'd4', 'd6', 'Qb5+', 'Bd7', 'Qxb7', 'Bc6', 'Qb3', 'Nxe4', 'Qe3', 'Nd7', 'f3', 'Nef6', 'Bd3', 'Bg7', 'Qf2', 'Nh5', 'g4', 'Nf4', 'Qg3', 'Nxd3+', 'cxd3', 'Bxd4', 'Nc3', 'Nc5', 'Be3']"
u7i6dOaJ,white,mate,31,shivangithegenius,sureka_akshat,C50,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'Nc3', 'Bc5', 'O-O', 'O-O', 'd3', 'Ne8', 'Bg5', 'Nf6', 'Nd5', 'h6', 'Nxf6+', 'gxf6', 'Bxh6', 'Re8', 'Ne1', 'd6', 'Qh5', 'Re7', 'Nf3', 'Be6', 'Bxe6', 'Rxe6', 'Qg4+', 'Kh8', 'Qg7#']"
guanvMR5,black,resign,43,sureka_akshat,shivangithegenius,C57,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'Ng5', 'Qe7', 'O-O', 'Nxe4', 'Nxe4', 'h6', 'Re1', 'Qh4', 'g3', 'Qd8', 'Nec3', 'Bc5', 'Kh1', 'O-O', 'f4', 'd6', 'fxe5', 'dxe5', 'Rf1', 'Qd7', 'Nd5', 'b6', 'Qh5', 'Nd8', 'g4', 'Bb7', 'g5', 'Bxd5+', 'Bxd5', 'Qxd5+', 'Rf3', 'hxg5', 'Qxg5', 'Qxf3+', 'Qg2', 'Qd1+', 'Qf1']"
PmpkWkmm,black,resign,52,shivangithegenius,sureka_akshat,C50,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'Nc3', 'Bc5', 'O-O', 'O-O', 'Ne1', 'd6', 'd3', 'Ne8', 'Qf3', 'Nd4', 'Qg3', 'Bb4', 'Bh6', 'g6', 'Bxf8', 'Bxc3', 'Qe3', 'Kxf8', 'bxc3', 'Nc6', 'Qf3', 'Nf6', 'Rd1', 'Bg4', 'Qg3', 'Bxd1', 'h3', 'Be2', 'Nf3', 'Nh5', 'Qg4', 'Bxf1', 'Kxf1', 'Nf6', 'Ng5', 'Nxg4', 'Nxf7', 'Nh2+', 'Kg1', 'Qh4', 'Kxh2', 'Qxf2', 'Be6', 'Nd8', 'Nxd8', 'Rxd8']"
EwaK0IsE,black,mate,66,sureka_akshat,shivangithegenius,C50,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'Nc3', 'Bc5', 'O-O', 'O-O', 'Ne1', 'Ne8', 'Qf3', 'Qg5', 'd4', 'Qg6', 'dxc5', 'Nd4', 'Qd1', 'd6', 'g3', 'Bh3', 'Nf3', 'Bxf1', 'Qxf1', 'Nxf3+', 'Kg2', 'Nh4+', 'Kh1', 'Nf3', 'Nd5', 'Qe6', 'Nxc7', 'Qc8', 'Nxa8', 'Qxa8', 'cxd6', 'Nxd6', 'Be2', 'Nd4', 'Bd3', 'Qc8', 'c3', 'Ne6', 'Qe1', 'Nc4', 'Bxc4', 'Qxc4', 'b3', 'Qc6', 'Ba3', 'Rd8', 'Be7', 'Rd7', 'Ba3', 'Ng5', 'Qd2', 'Rxd2', 'Kg2', 'Qxe4+', 'Kf1', 'Qe2+', 'Kg2', 'Qxf2+', 'Kh1', 'Qxh2#']"
yrSDozT3,black,resign,101,shivangithegenius,slam_ment,C41,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Be6', 'd3', 'Bxc4', 'dxc4', 'c5', 'O-O', 'h6', 'Nc3', 'Nf6', 'Nd5', 'Nxe4', 'Re1', 'Nf6', 'Nxf6+', 'Qxf6', 'Qd5', 'Nd7', 'Qxb7', 'Rb8', 'Qxa7', 'Be7', 'Bd2', 'Qf5', 'c3', 'Qc2', 'Rab1', 'O-O', 'Rec1', 'Qd3', 'b4', 'Rfd8', 'bxc5', 'dxc5', 'Rxb8', 'Rxb8', 'Rd1', 'Rb1', 'Qa8+', 'Bf8', 'Qa4', 'Rxd1+', 'Qxd1', 'e4', 'Ne1', 'Qd6', 'h3', 'Qe5', 'a4', 'Bd6', 'f4', 'Qf5', 'Be3', 'Bxf4', 'Bxf4', 'Qxf4', 'Qxd7', 'Qe3+', 'Kh2', 'Qxe1', 'Qe8+', 'Kh7', 'Qxf7', 'e3', 'Qf5+', 'Kg8', 'Qd5+', 'Kh7', 'Qxc5', 'e2', 'Qf5+', 'Kg8', 'Qe6+', 'Kh7', 'Qe4+', 'Kg8', 'a5', 'Qd1', 'Qa8+', 'Kh7', 'Qe4+', 'Kg8', 'Qd5+', 'Qxd5', 'cxd5', 'e1=Q', 'a6', 'Qa1', 'd6', 'Qxa6', 'd7', 'Qa8', 'c4', 'Qd8', 'c5', 'Qxd7', 'c6']"
x31mXlvc,white,resign,25,g-ios,shivangithegenius,D00,"['d4', 'd5', 'h3', 'Nc6', 'Nf3', 'Nf6', 'Bg5', 'h6', 'Bxf6', 'exf6', 'e3', 'Bb4+', 'c3', 'Bd6', 'Bb5', 'Bd7', 'O-O', 'a6', 'Ba4', 'b5', 'Bb3', 'Na5', 'Bxd5', 'Nc4', 'Bxa8']"
oQklnWWp,black,resign,14,shivangithegenius,lex_v1,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'h6', 'O-O', 'Bc5', 'd3', 'Nf6', 'Nc3', 'Ng4', 'h3', 'Nxf2']"
QFCZwY1f,white,resign,3,shivangithegenius,themannichreaction,A40,"['d4', 'e6', 'Nc3']"
5cgBygpI,white,resign,17,storm28rus,shivangithegenius,B20,"['e4', 'c5', 'Bc4', 'Nf6', 'Nc3', 'd6', 'Nf3', 'g6', 'Ng5', 'e6', 'd3', 'Bg7', 'O-O', 'Bh6', 'Nxe6', 'fxe6', 'Bxh6']"
UhXXBOMY,white,resign,36,robotsmoke,shivangithegenius,A25,"['c4', 'Nc6', 'Nc3', 'e5', 'g3', 'Bc5', 'Bg2', 'Nge7', 'e3', 'b6', 'a3', 'Bb7', 'b4', 'Bd6', 'Nb5', 'O-O', 'Nxd6', 'cxd6', 'Ne2', 'Nf5', 'Nc3', 'd5', 'Nxd5', 'Nce7', 'Nxe7+', 'Qxe7', 'Bxb7', 'Qe8', 'O-O', 'Rb8', 'Bg2', 'Rc8', 'd3', 'e4', 'Bxe4', 'Nxe3']"
mCij4hBq,black,resign,13,shivangithegenius,ivangonzalez123,B21,"['e4', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Qa4', 'e5', 'Be3', 'Nf6', 'Nf3', 'h6', 'Nc3']"
ifUMWtVj,white,mate,69,shivangithegenius,sureka_akshat,D01,"['d4', 'd5', 'Nc3', 'Nf6', 'Bf4', 'Bf5', 'Nf3', 'e6', 'e3', 'Be7', 'Bb5+', 'c6', 'Bd3', 'Bxd3', 'Qxd3', 'O-O', 'Bg5', 'Ng4', 'Bxe7', 'Qxe7', 'O-O', 'Qg5', 'h3', 'Qf6', 'hxg4', 'Qh6', 'Na4', 'b5', 'Nc5', 'Kh8', 'Nb7', 'g6', 'Nd6', 'Na6', 'Ne5', 'Kg8', 'Ndxf7', 'Rxf7', 'Nxf7', 'Kxf7', 'f4', 'g5', 'fxg5+', 'Kg7', 'gxh6+', 'Kxh6', 'Rf6+', 'Kg7', 'g5', 'h6', 'Qg6+', 'Kh8', 'Qxh6+', 'Kg8', 'Rxe6', 'Kf7', 'Qf6+', 'Kg8', 'Re8+', 'Rxe8', 'Qg6+', 'Kf8', 'Qh6+', 'Kg8', 'g6', 'Nb4', 'Rf1', 'Nxc2', 'Qh7#']"
Wf0zuLQQ,white,resign,43,gmcarlsen403,shivangithegenius,C45,"['e4', 'e5', 'Nf3', 'Nc6', 'd4', 'exd4', 'Bc4', 'Bc5', 'c3', 'dxc3', 'Bxf7+', 'Kxf7', 'Qd5+', 'Ke8', 'Qxc5', 'Qe7', 'Qxe7+', 'Ncxe7', 'Nxc3', 'd6', 'O-O', 'Bg4', 'Nd4', 'Nf6', 'f3', 'Bh5', 'Bg5', 'h6', 'Bxf6', 'gxf6', 'Ne6', 'Bf7', 'Nxc7+', 'Kd7', 'Nxa8', 'Rxa8', 'Rfd1', 'Bc4', 'b3', 'Ba6', 'Nd5', 'Nxd5', 'Rxd5']"
srz9QfSN,black,mate,54,mannat1,shivangithegenius,D01,"['d4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'e3', 'Bf5', 'h4', 'e6', 'g3', 'Bb4', 'a3', 'Bxc3+', 'bxc3', 'Ne4', 'Rh2', 'Nxc3', 'Qd2', 'Ne4', 'Qe2', 'Nc3', 'Qd2', 'Ne4', 'Qd3', 'Ng5', 'Qb5', 'Nxf3+', 'Kd1', 'Nxh2', 'Bd3', 'Bg4+', 'Kd2', 'Nf3+', 'Kc3', 'a6', 'Qxb7', 'Qb8', 'Qxc6+', 'Kd8', 'Bxa6', 'e5', 'Bb5', 'exd4+', 'Kb3', 'dxe3', 'Qd7+', 'Bxd7', 'Kb4', 'Qxb5+', 'Kc3', 'Qc4+', 'Kb2', 'Rb8#']"
NS6ccssb,black,resign,53,shivangithegenius,biyanivedant01,D10,"['d4', 'd5', 'c4', 'c6', 'e3', 'dxc4', 'Bxc4', 'Nf6', 'Nc3', 'e6', 'e4', 'e5', 'd5', 'cxd5', 'exd5', 'Bd6', 'Bg5', 'O-O', 'Bxf6', 'Qxf6', 'Nf3', 'Bc5', 'O-O', 'Qg6', 'Nxe5', 'Qg5', 'Nf3', 'Qh6', 'Nb5', 'Na6', 'd6', 'Rd8', 'Qd5', 'Bxd6', 'Qxf7+', 'Kh8', 'Nxd6', 'Qxd6', 'Rfd1', 'Qf8', 'Rxd8', 'Qxd8', 'h3', 'Bf5', 'Qxf5', 'Qf8', 'Qd5', 'Nc7', 'Qxb7', 'Qb8', 'Qd5', 'Nxd5', 'Bxd5']"
M3vpf2Ki,black,mate,66,shivangithegenius,chinmaysharma,D06,"['d4', 'd5', 'c4', 'Nf6', 'Nc3', 'Nc6', 'Nf3', 'e6', 'e3', 'Bd6', 'Bd3', 'Ne4', 'Bxe4', 'dxe4', 'Ne5', 'f5', 'Nxc6', 'bxc6', 'Qh5+', 'g6', 'Qd1', 'O-O', 'O-O', 'Bb4', 'a3', 'Bxc3', 'bxc3', 'Qe7', 'h3', 'c5', 'd5', 'exd5', 'cxd5', 'Ba6', 'a4', 'Bxf1', 'Qxf1', 'a5', 'Ba3', 'Qe5', 'Qd1', 'f4', 'exf4', 'Qxf4', 'Bxc5', 'Rf7', 'd6', 'cxd6', 'Bb6', 'Rb8', 'Ba7', 'Rxa7', 'Qd5+', 'Kg7', 'Qd4+', 'Kf8', 'Qxa7', 'Re8', 'Qxa5', 'e3', 'Rf1', 'exf2+', 'Rxf2', 'Re1+', 'Rf1', 'Rxf1#']"
fXhNOnOn,black,resign,64,biyanivedant01,shivangithegenius,B21,"['e4', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Qa4', 'Nf6', 'Nc3', 'g6', 'Nf3', 'Bg7', 'Bb5', 'O-O', 'O-O', 'a6', 'Bg5', 'axb5', 'Qxa8', 'd5', 'Rab1', 'dxe4', 'Rbd1', 'Qa5', 'Qxa5', 'Nxa5', 'Nxb5', 'exf3', 'gxf3', 'Nc4', 'Na7', 'Nxb2', 'Rb1', 'Nc4', 'Rb4', 'Nd2', 'Rd1', 'Nxf3+', 'Kf1', 'Nxh2+', 'Kg1', 'Nf3+', 'Kg2', 'Nxg5', 'Rbd4', 'Bh3+', 'Kg3', 'Nge4+', 'Kxh3', 'Nxf2+', 'Kg2', 'Nxd1', 'Rxd1', 'Ne4', 'Rd4', 'Nc3', 'Rb4', 'Nxa2', 'Rxb7', 'Nc3', 'Rxe7', 'Nd5', 'Rc7', 'Nxc7']"
DiCTkvZH,black,mate,64,rv0209,shivangithegenius,B52,"['e4', 'c5', 'Nf3', 'd6', 'Bb5+', 'Bd7', 'Bxd7+', 'Nxd7', 'O-O', 'Ngf6', 'Nc3', 'g6', 'd3', 'Bg7', 'Bg5', 'O-O', 'Nd5', 'Nxd5', 'exd5', 'Bxb2', 'Bh6', 'Bg7', 'Bxg7', 'Kxg7', 'Ng5', 'Kg8', 'd4', 'c4', 'c3', 'e5', 'Re1', 'Qxg5', 'Qa4', 'Rfd8', 'Qa3', 'exd4', 'cxd4', 'Qxd5', 'Rad1', 'Re8', 'Re3', 'Rxe3', 'fxe3', 'b6', 'Re1', 'Nf6', 'Qc3', 'Ne4', 'Qb4', 'c3', 'Rc1', 'Rc8', 'Qa4', 'a5', 'Qd7', 'Rf8', 'Qa7', 'Qxa2', 'Qxb6', 'Qf2+', 'Kh1', 'Qd2', 'Rg1', 'Nf2#']"
FSkgvV2E,white,resign,54,vihaandumir,shivangithegenius,B27,"['e4', 'c5', 'Nf3', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Qe2', 'Qxe2+', 'Bxe2', 'Nf6', 'O-O', 'g6', 'd3', 'Bg7', 'Nb5', 'Na6', 'Bf4', 'O-O', 'd4', 'Bd7', 'dxc5', 'Bxb5', 'Bxb5', 'Nxc5', 'Be3', 'Ne6', 'Nd4', 'a6', 'Bd3', 'Nxd4', 'Bxd4', 'Rad8', 'Bb6', 'Rd6', 'Bc5', 'Rd7', 'Rfe1', 'Re8', 'c3', 'Nd5', 'Bc2', 'Rc7', 'Ba3', 'b5', 'Rad1', 'Rd7', 'c4', 'e6', 'cxd5', 'exd5', 'Rxe8+', 'Bf8']"
F1mRjzPr,black,resign,21,shivangithegenius,shamlanaseer,D20,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'b5', 'Na3', 'a6', 'Qf3', 'f6', 'e5', 'fxe5', 'Qxa8', 'Nd7', 'dxe5', 'Nxe5', 'Qf3', 'Qd4', 'Qh5+', 'g6', 'Qd1']"
Lq24M4KQ,white,resign,11,medovich,shivangithegenius,B20,"['e4', 'c5', 'Bc4', 'Nf6', 'd3', 'd6', 'Nf3', 'g6', 'Ng5', 'Bg7', 'Nxf7']"
lHNM8cl5,black,resign,19,shivangithegenius,sorethea,B06,"['d4', 'g6', 'e4', 'Bg7', 'Bf4', 'e6', 'Bc4', 'Ne7', 'Nf3', 'h6', 'Ne5', 'O-O', 'Qg4', 'd5', 'exd5', 'exd5', 'Bd3', 'Bxg4', 'Bxg6']"
GfeEgLV3,white,resign,28,rico21,shivangithegenius,D00,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'Nf6', 'f3', 'exf3', 'Nxf3', 'Bf5', 'Bd3', 'Bxd3', 'Qxd3', 'Nc6', 'O-O', 'Nb4', 'Qf5', 'Nc6', 'd5', 'Nxd5', 'Nxd5', 'e6', 'Qf4', 'exd5', 'Nd4', 'Ne7', 'Qxf7+', 'Kd7']"
OR6aULrW,black,resign,22,shivangithegenius,jojo58,A45,"['d4', 'Nf6', 'Nc3', 'd6', 'd5', 'g6', 'e4', 'Bg7', 'Nf3', 'O-O', 'Ng5', 'a6', 'Qf3', 'c6', 'Qg3', 'b5', 'Qh4', 'h6', 'Nf3', 'g5', 'Qxg5', 'hxg5']"
Yg006qwa,white,resign,37,jojo58,shivangithegenius,B77,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Bg7', 'Bc4', 'O-O', 'f3', 'Nc6', 'Qd2', 'a6', 'O-O-O', 'b5', 'Bb3', 'Na5', 'Kb1', 'Nxb3', 'cxb3', 'd5', 'Nc6', 'Qd7', 'exd5', 'Nxd5', 'Qxd5', 'Qf5+', 'Qxf5', 'Bxf5+', 'Ka1', 'Rac8', 'Nxe7+']"
G5S21pXK,white,resign,34,rajuppi,shivangithegenius,A21,"['c4', 'e5', 'Nc3', 'Bc5', 'g3', 'Nc6', 'Bg2', 'Nf6', 'Nf3', 'b6', 'Nxe5', 'Bb7', 'Nd3', 'Bd4', 'O-O', 'Bxc3', 'dxc3', 'O-O', 'Nb4', 'Re8', 'Nxc6', 'Bxc6', 'Bxc6', 'dxc6', 'Be3', 'Ng4', 'Qxd8', 'Raxd8', 'Rad1', 'Nxe3', 'fxe3', 'Rxd1', 'Rxd1', 'Rxe3']"
R9a2DLwe,draw,draw,32,white_queen_1990,shivangithegenius,B70,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'g6', 'Bg5', 'Bg7', 'Bxf6', 'Bxf6', 'Bb5+', 'Bd7', 'Bxd7+', 'Nxd7', 'O-O', 'Bxd4', 'Qxd4', 'O-O', 'f3', 'Qb6', 'Qxb6', 'Nxb6', 'Nd5', 'Nxd5', 'exd5', 'Rac8', 'c3', 'Rc5']"
r4LcBZA7,black,resign,71,milestretch,shivangithegenius,B23,"['e4', 'c5', 'Nc3', 'd6', 'Bc4', 'Nf6', 'Qe2', 'g6', 'e5', 'dxe5', 'Qxe5', 'Qd4', 'Bb5+', 'Bd7', 'Bxd7+', 'Nbxd7', 'f4', 'Nxe5', 'fxe5', 'Qxe5+', 'Nge2', 'Ne4', 'Nxe4', 'Qxe4', 'O-O', 'Qxc2', 'Nf4', 'Bh6', 'Nd5', 'Rc8', 'b4', 'Bxd2', 'b5', 'Bxc1', 'Raxc1', 'Qxa2', 'b6', 'Qxd5', 'bxa7', 'Qd4+', 'Kh1', 'e5', 'Ra1', 'O-O', 'Rfb1', 'Qd7', 'g3', 'Qc6+', 'Kg1', 'c4', 'Re1', 'Qc5+', 'Kf1', 'Ra8', 'Reb1', 'Rxa7', 'Rxa7', 'Qxa7', 'Rd1', 'Qa4', 'Rd5', 'c3', 'Ke1', 'c2', 'Kd2', 'Qb3', 'Rxe5', 'Qb2', 'Re1', 'c1=Q+', 'Kd3']"
SDDXGw21,white,resign,30,stephen789,shivangithegenius,B21,"['e4', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Qa4', 'Nf6', 'Nf3', 'g6', 'Bg5', 'Qa5+', 'Qxa5', 'Nxa5', 'Nbd2', 'Bg7', 'Bxf6', 'Bxf6', 'O-O-O', 'e6', 'e5', 'Bg5', 'Bd3', 'Bxd2+', 'Nxd2', 'O-O', 'h4', 'h6', 'Nf3', 'f6']"
